JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater
1010,16,-131,8,5,-9999,6,-6,-175
1011,16,-126,7,3,-9999,1,-9,-174
1012,15,-128,6,2,-9999,1,-10,-169
1013,15,-130,6,2,-9999,1,-11,-169
1014,16,-133,6,2,-9999,4,-11,-169
1015,15,-135,7,3,-9999,4,-12,-172
1016,16,-136,7,4,-9999,5,-14,-172
1017,15,-134,6,2,-9999,4,-15,-172
1018,18,-139,8,7,-9999,6,-13,-172
1019,16,-140,9,6,-9999,4,-12,-171
1020,16,-139,8,5,-9999,3,-14,-172
1021,16,-139,7,4,-9999,2,-15,-172
1022,16,-140,8,6,-9999,4,-15,-172
1023,16,-139,8,6,-9999,4,-14,-172
1024,16,-140,8,6,-9999,6,-13,-172
1025,15,-140,8,6,-9999,6,-15,-173
1026,15,-139,7,5,-9999,6,-16,-173
1027,18,-142,9,7,-9999,6,-16,-173
1028,18,-141,9,9,-9999,5,-15,-173
1029,16,-142,9,7,-9999,4,-16,-173
1030,16,-141,8,6,-9999,5,-16,-174
1031,16,-141,8,7,-9999,6,-11,-173
1032,16,-128,8,6,-9999,4,-7,-173
1033,17,-110,8,8,-9999,5,4,-164
